OTU	Size	Taxonomy
Otu06198	3	Bacteria;Chlamydiae;Chlamydiia;Chlamydiales;Parachlamydiaceae;Parachlamydiaceae_unclassified;Parachlamydiaceae_unclassified;
Otu06199	3	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;Massilia_unclassified;
Otu06200	3	Bacteria;Chlamydiae;Chlamydiia;Chlamydiales;Chlamydiales_unclassified(67);Chlamydiales_unclassified(67);Chlamydiales_unclassified(67);
Otu06201	3	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae_unclassified;Comamonadaceae_unclassified;
Otu06202	3	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;glathei;
Otu06203	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu06204	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu06205	3	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae_unclassified;Comamonadaceae_unclassified;
Otu06206	3	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Alcaligenaceae_unclassified;Alcaligenaceae_unclassified;
Otu06207	3	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Oxalobacteraceae_unclassified;Oxalobacteraceae_unclassified;
Otu06208	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu06209	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu06210	3	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Herminiimonas(67);Herminiimonas_unclassified(67);
Otu06211	3	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae_unclassified;Comamonadaceae_unclassified;
Otu06212	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu06213	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu06214	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu06215	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu06216	3	Bacteria;Verrucomicrobia;[Methylacidiphilae];Methylacidiphilales;Methylacidiphilales_unclassified;Methylacidiphilales_unclassified;Methylacidiphilales_unclassified;
Otu06217	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu06218	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu06219	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu06220	3	Bacteria;Chlamydiae;Chlamydiia;Chlamydiales;Parachlamydiaceae;Candidatus_Protochlamydia;Candidatus_Protochlamydia_unclassified;
Otu06221	3	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae_unclassified;Comamonadaceae_unclassified;
Otu06222	3	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Methylibium;Methylibium_unclassified;
Otu06223	3	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Rhodospirillaceae_unclassified;Rhodospirillaceae_unclassified;
Otu06224	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu06225	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu06226	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu06227	3	Bacteria;Chlamydiae;Chlamydiia;Chlamydiales;Parachlamydiaceae;Parachlamydiaceae_unclassified;Parachlamydiaceae_unclassified;
Otu06228	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu06229	3	Bacteria;TM7;TM7-1;TM7-1_unclassified;TM7-1_unclassified;TM7-1_unclassified;TM7-1_unclassified;
Otu06230	3	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Methylibium;Methylibium_unclassified;
Otu06231	3	Bacteria;Chlamydiae;Chlamydiia;Chlamydiales;Parachlamydiaceae;Candidatus_Protochlamydia;Candidatus_Protochlamydia_unclassified;
Otu06232	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu06233	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu06234	3	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu06235	3	Bacteria;Chlamydiae;Chlamydiia;Chlamydiales;Chlamydiales_unclassified;Chlamydiales_unclassified;Chlamydiales_unclassified;
Otu06236	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu06237	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu06238	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu06239	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu06240	3	Bacteria;Chlamydiae;Chlamydiia;Chlamydiales;Parachlamydiaceae(67);Parachlamydiaceae_unclassified(67);Parachlamydiaceae_unclassified(67);
Otu06241	3	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Oxalobacteraceae_unclassified(67);Oxalobacteraceae_unclassified(67);
Otu06242	3	Bacteria;Chlamydiae;Chlamydiia;Chlamydiales;Parachlamydiaceae;Candidatus_Protochlamydia;Candidatus_Protochlamydia_unclassified;
Otu06243	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu06244	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu06245	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu06246	3	Bacteria;TM7;TM7-1;TM7-1_unclassified;TM7-1_unclassified;TM7-1_unclassified;TM7-1_unclassified;
Otu06247	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu06248	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu06249	3	Bacteria;Chlamydiae;Chlamydiia;Chlamydiales;Chlamydiales_unclassified;Chlamydiales_unclassified;Chlamydiales_unclassified;
Otu06250	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu06251	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu06252	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu06253	3	Bacteria;Cyanobacteria;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;
Otu06254	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu06255	3	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetales_unclassified;Actinomycetales_unclassified;Actinomycetales_unclassified;
Otu06256	3	Bacteria;TM7;TM7-1;TM7-1_unclassified;TM7-1_unclassified;TM7-1_unclassified;TM7-1_unclassified;
Otu06257	3	Bacteria;TM7;TM7-1;TM7-1_unclassified;TM7-1_unclassified;TM7-1_unclassified;TM7-1_unclassified;
Otu06258	3	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Microbacteriaceae_unclassified;Microbacteriaceae_unclassified;
Otu06259	3	Bacteria;Cyanobacteria;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;
Otu06260	3	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Micromonosporaceae_unclassified;Micromonosporaceae_unclassified;
Otu06261	3	Bacteria;Cyanobacteria;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;
Otu06262	3	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetales_unclassified;Actinomycetales_unclassified;Actinomycetales_unclassified;
Otu06263	3	Bacteria;Cyanobacteria;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;
Otu06264	3	Bacteria;Cyanobacteria;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;
Otu06265	3	Bacteria;Cyanobacteria;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;
Otu06266	3	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetales_unclassified(67);Actinomycetales_unclassified(67);Actinomycetales_unclassified(67);
Otu06267	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu06268	3	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;Massilia_unclassified;
Otu06269	3	Bacteria;Cyanobacteria;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;
Otu06270	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu06271	3	Bacteria;Cyanobacteria;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;
Otu06272	3	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Pseudonocardiaceae;Pseudonocardia;Pseudonocardia_unclassified;
Otu06273	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu06274	3	Bacteria;TM7;TM7-1;TM7-1_unclassified;TM7-1_unclassified;TM7-1_unclassified;TM7-1_unclassified;
Otu06275	3	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu06276	3	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Frankiaceae;Frankiaceae_unclassified;Frankiaceae_unclassified;
Otu06277	3	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Subtercola;Subtercola_unclassified;
Otu06278	3	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Salinibacterium;amurskyense;
Otu06279	3	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Rhodospirillaceae_unclassified;Rhodospirillaceae_unclassified;
Otu06280	3	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu06281	3	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Kineosporiaceae;Kineosporiaceae_unclassified;Kineosporiaceae_unclassified;
Otu06282	3	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Thermomonosporaceae;Thermomonosporaceae_unclassified;Thermomonosporaceae_unclassified;
Otu06283	3	Bacteria;TM7;TM7-1;TM7-1_unclassified;TM7-1_unclassified;TM7-1_unclassified;TM7-1_unclassified;
Otu06284	3	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillales_unclassified;Rhodospirillales_unclassified;Rhodospirillales_unclassified;
Otu06285	3	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;Massilia_unclassified;
Otu06286	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu06287	3	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae_unclassified(67);Comamonadaceae_unclassified(67);
Otu06288	3	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_unclassified;Burkholderiales_unclassified;Burkholderiales_unclassified;
Otu06289	3	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu06290	3	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu06291	3	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu06292	3	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu06293	3	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu06294	3	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Rhodospirillaceae_unclassified;Rhodospirillaceae_unclassified;
Otu06295	3	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Micromonosporaceae_unclassified;Micromonosporaceae_unclassified;
Otu06296	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu06297	3	Bacteria;TM7;TM7-1;TM7-1_unclassified;TM7-1_unclassified;TM7-1_unclassified;TM7-1_unclassified;
Otu06298	3	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetales_unclassified(67);Actinomycetales_unclassified(67);Actinomycetales_unclassified(67);
Otu06299	3	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_unclassified;Burkholderiales_unclassified;Burkholderiales_unclassified;
Otu06300	3	Bacteria;TM7;TM7-1;TM7-1_unclassified;TM7-1_unclassified;TM7-1_unclassified;TM7-1_unclassified;
Otu06301	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu06302	3	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae_unclassified;Comamonadaceae_unclassified;
Otu06303	3	Bacteria;Verrucomicrobia;[Methylacidiphilae];Methylacidiphilales;Methylacidiphilales_unclassified;Methylacidiphilales_unclassified;Methylacidiphilales_unclassified;
Otu06304	3	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Oxalobacteraceae_unclassified;Oxalobacteraceae_unclassified;
Otu06305	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu06306	3	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae_unclassified;Comamonadaceae_unclassified;
Otu06307	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu06308	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu06309	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu06310	3	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;bryophila(67);
Otu06311	3	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Burkholderia_unclassified(67);
Otu06312	3	Bacteria;Verrucomicrobia;[Spartobacteria];[Chthoniobacterales];[Chthoniobacterales]_unclassified;[Chthoniobacterales]_unclassified;[Chthoniobacterales]_unclassified;
Otu06313	3	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_unclassified;
Otu06314	3	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;[Paraprevotellaceae];[Prevotella];[Prevotella]_unclassified;
Otu06315	3	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella_unclassified;
Otu06316	3	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;indistinctus;
Otu06317	3	Bacteria;TM7;TM7-1;TM7-1_unclassified;TM7-1_unclassified;TM7-1_unclassified;TM7-1_unclassified;
Otu06318	3	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;[Paraprevotellaceae];[Prevotella];tannerae;
Otu06319	3	Bacteria;TM7;TM7-1;TM7-1_unclassified;TM7-1_unclassified;TM7-1_unclassified;TM7-1_unclassified;
Otu06320	3	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Mycobacteriaceae;Mycobacterium;Mycobacterium_unclassified;
Otu06321	3	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Solirubrobacterales_unclassified;Solirubrobacterales_unclassified;Solirubrobacterales_unclassified;
Otu06322	3	Bacteria;Verrucomicrobia;[Methylacidiphilae];Methylacidiphilales;Methylacidiphilales_unclassified;Methylacidiphilales_unclassified;Methylacidiphilales_unclassified;
Otu06323	3	Bacteria;Verrucomicrobia;[Methylacidiphilae];Methylacidiphilales;Methylacidiphilales_unclassified;Methylacidiphilales_unclassified;Methylacidiphilales_unclassified;
Otu06324	3	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Conexibacteraceae;Conexibacter;Conexibacter_unclassified;
Otu06325	3	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae_unclassified(67);Comamonadaceae_unclassified(67);
Otu06326	3	Bacteria;Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae;Candidatus_Solibacter;Candidatus_Solibacter_unclassified;
Otu06327	3	Bacteria;Verrucomicrobia;[Methylacidiphilae];Methylacidiphilales;Methylacidiphilales_unclassified;Methylacidiphilales_unclassified;Methylacidiphilales_unclassified;
Otu06328	3	Bacteria;Verrucomicrobia;[Methylacidiphilae];Methylacidiphilales;Methylacidiphilales_unclassified;Methylacidiphilales_unclassified;Methylacidiphilales_unclassified;
Otu06329	3	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Conexibacteraceae;Conexibacteraceae_unclassified;Conexibacteraceae_unclassified;
Otu06330	3	Bacteria;Verrucomicrobia;[Methylacidiphilae];Methylacidiphilales;Methylacidiphilales_unclassified;Methylacidiphilales_unclassified;Methylacidiphilales_unclassified;
Otu06331	3	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Herminiimonas;Herminiimonas_unclassified;
Otu06332	3	Bacteria;Verrucomicrobia;[Methylacidiphilae];Methylacidiphilales;Methylacidiphilales_unclassified;Methylacidiphilales_unclassified;Methylacidiphilales_unclassified;
Otu06333	3	Bacteria;Verrucomicrobia;[Methylacidiphilae];Methylacidiphilales;Methylacidiphilales_unclassified;Methylacidiphilales_unclassified;Methylacidiphilales_unclassified;
Otu06334	3	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Conexibacteraceae;Conexibacteraceae_unclassified;Conexibacteraceae_unclassified;
Otu06335	3	Bacteria;Verrucomicrobia;[Methylacidiphilae];Methylacidiphilales;Methylacidiphilales_unclassified;Methylacidiphilales_unclassified;Methylacidiphilales_unclassified;
Otu06336	3	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Patulibacteraceae;Patulibacteraceae_unclassified;Patulibacteraceae_unclassified;
Otu06337	3	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Conexibacteraceae;Conexibacter;Conexibacter_unclassified;
Otu06338	3	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Solirubrobacterales_unclassified;Solirubrobacterales_unclassified;Solirubrobacterales_unclassified;
Otu06339	3	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Conexibacteraceae;Conexibacteraceae_unclassified;Conexibacteraceae_unclassified;
Otu06340	3	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu06341	3	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu06342	3	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae_unclassified;Comamonadaceae_unclassified;
Otu06343	3	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu06344	3	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu06345	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu06346	3	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu06347	3	Bacteria;Chlamydiae;Chlamydiia;Chlamydiales;Parachlamydiaceae;Parachlamydiaceae_unclassified;Parachlamydiaceae_unclassified;
Otu06348	3	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu06349	3	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Kineosporiaceae;Kineosporia;rhamnosa;
Otu06350	3	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu06351	3	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu06352	3	Bacteria;Chlamydiae;Chlamydiia;Chlamydiales;Parachlamydiaceae;Parachlamydiaceae_unclassified;Parachlamydiaceae_unclassified;
Otu06353	3	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu06354	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu06355	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu06356	3	Bacteria;Chlamydiae;Chlamydiia;Chlamydiales;Parachlamydiaceae;Candidatus_Protochlamydia;Candidatus_Protochlamydia_unclassified;
Otu06357	3	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu06358	3	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu06359	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu06360	3	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
