OTU	Size	Taxonomy
Otu00039	9061	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylocystaceae(98);Methylocystaceae_unclassified(98);Methylocystaceae_unclassified(98);
Otu00040	8982	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu00041	8792	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Terriglobus;Terriglobus_unclassified;
Otu00042	8696	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu00043	8641	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu00044	8354	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacteriaceae_unclassified(96);Acidobacteriaceae_unclassified(96);
Otu00045	8123	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu00046	8083	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas(99);Sphingomonas_unclassified(99);
Otu00047	7995	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu00048	7799	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidisoma;Acidisoma_unclassified;
Otu00049	7636	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium_unclassified;
Otu00050	7079	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Sinobacteraceae;Sinobacteraceae_unclassified;Sinobacteraceae_unclassified;
Otu00051	6841	Bacteria;Acidobacteria;Solibacteres;Solibacterales;PK34(59);PK34_unclassified(59);PK34_unclassified(59);
Otu00052	6833	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacteriaceae_unclassified;Acidobacteriaceae_unclassified;
Otu00053	6738	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Yersinia;Yersinia_unclassified;
Otu00054	6713	Bacteria;Verrucomicrobia;[Methylacidiphilae];Methylacidiphilales;Methylacidiphilales_unclassified;Methylacidiphilales_unclassified;Methylacidiphilales_unclassified;
Otu00055	6655	Bacteria;Verrucomicrobia;[Spartobacteria];[Chthoniobacterales];[Chthoniobacterales]_unclassified(99);[Chthoniobacterales]_unclassified(99);[Chthoniobacterales]_unclassified(99);
Otu00056	6630	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae(97);Beijerinckiaceae_unclassified(97);Beijerinckiaceae_unclassified(97);
Otu00057	6513	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacteriaceae_unclassified(95);Acidobacteriaceae_unclassified(95);
Otu00058	6426	Bacteria;Verrucomicrobia;[Spartobacteria];[Chthoniobacterales];[Chthoniobacteraceae](91);[Chthoniobacteraceae]_unclassified(66);[Chthoniobacteraceae]_unclassified(66);
Otu00059	6112	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Thermomonosporaceae(62);Thermomonosporaceae_unclassified(62);Thermomonosporaceae_unclassified(62);
Otu00060	5983	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu00061	5971	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Hymenobacter;Hymenobacter_unclassified;
Otu00062	5933	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Beijerinckia(76);Beijerinckia_unclassified(76);
Otu00063	5837	Bacteria;Verrucomicrobia;[Spartobacteria];[Chthoniobacterales];[Chthoniobacteraceae](82);[Chthoniobacteraceae]_unclassified(82);[Chthoniobacteraceae]_unclassified(82);
Otu00064	5717	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;Mucilaginibacter_unclassified;
Otu00065	5683	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylocystaceae(98);Methylocystaceae_unclassified(98);Methylocystaceae_unclassified(98);
Otu00066	5630	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;jinjuensis(95);
Otu00067	5579	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu00068	5566	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales_unclassified(90);Rhizobiales_unclassified(90);Rhizobiales_unclassified(90);
Otu00069	5564	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Oxalobacteraceae_unclassified(99);Oxalobacteraceae_unclassified(99);
Otu00070	5476	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidocella(90);Acidocella_unclassified(90);
Otu00071	5441	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Zymomonas(99);Zymomonas_unclassified(99);
Otu00072	5356	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu00073	5327	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu00074	5209	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu00075	5055	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacteriaceae_unclassified;Acidobacteriaceae_unclassified;
